id,date,timestamp,latitude,longitude,depth,size,location,attribute
145,2023.02.06 19:26:36,1675711596,38.0785,36.6955,17.6,"{'md': 0.0, 'ml': 4.8, 'mw': 4.7}",FINDIK-GOKSUN (KAHRAMANMARAS),İlksel
146,2023.02.06 19:22:44,1675711364,38.0395,36.5572,6.8,"{'md': 0.0, 'ml': 3.9, 'mw': 0.0}",YANTEPE-GOKSUN (KAHRAMANMARAS),İlksel
148,2023.02.06 19:15:06,1675710906,37.3527,36.8755,5.0,"{'md': 0.0, 'ml': 3.2, 'mw': 0.0}",HACIBEBEK-TURKOGLU (KAHRAMANMARAS),İlksel
149,2023.02.06 19:12:56,1675710776,37.3503,36.9288,9.3,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",HACIBEBEK-TURKOGLU (KAHRAMANMARAS),REVIZE01
150,2023.02.06 19:06:42,1675710402,38.1047,37.063,5.0,"{'md': 0.0, 'ml': 3.9, 'mw': 0.0}",SOYSALLI-EKINOZU (KAHRAMANMARAS),İlksel
151,2023.02.06 19:02:13,1675710133,38.088,37.2853,5.0,"{'md': 0.0, 'ml': 3.7, 'mw': 0.0}",OZCANLI-ELBISTAN (KAHRAMANMARAS),İlksel
153,2023.02.06 18:59:25,1675709965,38.0633,37.5183,5.0,"{'md': 0.0, 'ml': 4.0, 'mw': 0.0}",TATLAR-NURHAK (KAHRAMANMARAS),İlksel
154,2023.02.06 18:54:04,1675709644,37.3128,37.086,11.4,"{'md': 0.0, 'ml': 3.0, 'mw': 0.0}",ORDEKDEDE-PAZARCIK (KAHRAMANMARAS),İlksel
156,2023.02.06 18:48:01,1675709281,37.9627,36.7203,21.0,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",CAMLICA-(KAHRAMANMARAS),İlksel
161,2023.02.06 18:08:06,1675706886,38.034,37.535,5.0,"{'md': 0.0, 'ml': 4.1, 'mw': 0.0}",TATLAR-NURHAK (KAHRAMANMARAS),İlksel
162,2023.02.06 18:06:23,1675706783,38.0883,37.5288,5.0,"{'md': 0.0, 'ml': 4.1, 'mw': 4.3}",SUNNETKOY-ELBISTAN (KAHRAMANMARAS),İlksel
164,2023.02.06 18:01:24,1675706484,38.0308,36.5927,7.1,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",SARAYCIK-GOKSUN (KAHRAMANMARAS),İlksel
173,2023.02.06 17:29:57,1675704597,37.9957,36.4218,5.0,"{'md': 0.0, 'ml': 4.5, 'mw': 0.0}",ACIELMA-GOKSUN (KAHRAMANMARAS),İlksel
176,2023.02.06 17:10:09,1675703409,37.9993,37.4345,1.8,"{'md': 0.0, 'ml': 4.5, 'mw': 4.6}",NURHAK (KAHRAMANMARAS),İlksel
177,2023.02.06 17:06:30,1675703190,38.0718,36.4757,24.6,"{'md': 0.0, 'ml': 3.4, 'mw': 0.0}",MEHMETBEY-GOKSUN (KAHRAMANMARAS),İlksel
178,2023.02.06 17:04:48,1675703088,38.0268,36.3838,5.0,"{'md': 0.0, 'ml': 4.3, 'mw': 0.0}",SOGUKPINAR-GOKSUN (KAHRAMANMARAS),İlksel
180,2023.02.06 17:02:03,1675702923,38.3015,37.1363,5.2,"{'md': 0.0, 'ml': 3.3, 'mw': 0.0}",DOGAN-ELBISTAN (KAHRAMANMARAS),İlksel
182,2023.02.06 16:58:49,1675702729,38.102,36.5028,5.0,"{'md': 0.0, 'ml': 4.0, 'mw': 0.0}",MAHMUTBEY-GOKSUN (KAHRAMANMARAS),İlksel
185,2023.02.06 16:39:24,1675701564,38.1595,37.5413,8.2,"{'md': 0.0, 'ml': 5.3, 'mw': 0.0}",KANTARMA-ELBISTAN (KAHRAMANMARAS),İlksel
186,2023.02.06 16:17:43,1675700263,38.0483,36.5193,5.0,"{'md': 0.0, 'ml': 4.9, 'mw': 0.0}",HACIMIRZA-GOKSUN (KAHRAMANMARAS),İlksel
187,2023.02.06 16:16:28,1675700188,38.004,36.7548,13.6,"{'md': 0.0, 'ml': 3.7, 'mw': 0.0}",KINIKKOZ-GOKSUN (KAHRAMANMARAS),İlksel
