id,date,timestamp,latitude,longitude,depth,size,location,afad_id,attribute
29,2023-02-07 16:02:25,1675785745,37.795,36.61,7.05,"{'md': 0, 'ml': 3.8, 'mw': 0}",Onikişubat (Kahramanmaraş),544079,ML
30,2023-02-07 16:01:42,1675785702,37.733,36.618,7.12,"{'md': 0, 'ml': 3.8, 'mw': 0}",Onikişubat (Kahramanmaraş),544078,ML
31,2023-02-07 16:00:47,1675785647,36.739,36.169,7.0,"{'md': 0, 'ml': 3.1, 'mw': 0}",Akdeniz - İskenderun Körfezi - [03.88 km] Payas (Hatay),544083,ML
32,2023-02-07 15:53:11,1675785191,38.103,38.438,16.58,"{'md': 0, 'ml': 3.7, 'mw': 0}",Çelikhan (Adıyaman),544077,ML
33,2023-02-07 15:48:00,1675784880,36.872,36.506,15.04,"{'md': 0, 'ml': 3.1, 'mw': 0}",Hassa (Hatay),544073,ML
34,2023-02-07 15:45:13,1675784713,37.453,36.973,6.97,"{'md': 0, 'ml': 3.2, 'mw': 0}",Dulkadiroğlu (Kahramanmaraş),544071,ML
35,2023-02-07 15:43:38,1675784618,38.368,37.939,6.54,"{'md': 0, 'ml': 3.8, 'mw': 0}",Akçadağ (Malatya),544072,ML
36,2023-02-07 15:41:32,1675784492,38.186,37.878,7.08,"{'md': 0, 'ml': 3.9, 'mw': 0}",Doğanşehir (Malatya),544070,ML
37,2023-02-07 15:40:14,1675784414,37.788,37.674,7.04,"{'md': 0, 'ml': 3.3, 'mw': 0}",Gölbaşı (Adıyaman),544068,ML
38,2023-02-07 15:35:47,1675784147,37.489,37.158,7.0,"{'md': 0, 'ml': 3.6, 'mw': 0}",Dulkadiroğlu (Kahramanmaraş),544067,ML
39,2023-02-07 15:31:06,1675783866,38.084,36.568,7.05,"{'md': 0, 'ml': 3.2, 'mw': 0}",Göksun (Kahramanmaraş),544075,ML
40,2023-02-07 15:30:08,1675783808,37.272,36.682,6.85,"{'md': 0, 'ml': 2.1, 'mw': 0}",Bahçe (Osmaniye),544074,ML
41,2023-02-07 15:28:10,1675783690,38.102,38.243,7.0,"{'md': 0, 'ml': 3.1, 'mw': 0}",Çelikhan (Adıyaman),544076,ML
