id,date,timestamp,latitude,longitude,depth,size,location,attribute
51,2023.02.07 15:18:59,1675783139,38.1153,37.8072,9.0,"{'md': 0.0, 'ml': 3.0, 'mw': 0.0}",FINDIKKOY-DOGANSEHIR (MALATYA),İlksel
52,2023.02.07 15:16:02,1675782962,38.0535,37.5092,4.7,"{'md': 0.0, 'ml': 3.5, 'mw': 0.0}",TATLAR-NURHAK (KAHRAMANMARAS),İlksel
53,2023.02.07 15:14:31,1675782871,38.235,42.6785,5.1,"{'md': 0.0, 'ml': 1.8, 'mw': 0.0}",ORGULU-HIZAN (BITLIS),İlksel
54,2023.02.07 15:13:14,1675782794,37.5893,37.1207,5.4,"{'md': 0.0, 'ml': 3.3, 'mw': 0.0}",BULANIK-(KAHRAMANMARAS),İlksel
55,2023.02.07 15:04:23,1675782263,37.9815,37.5558,5.0,"{'md': 0.0, 'ml': 3.2, 'mw': 0.0}",TATLAR-NURHAK (KAHRAMANMARAS),İlksel
56,2023.02.07 14:59:21,1675781961,38.1197,37.2923,5.9,"{'md': 0.0, 'ml': 3.2, 'mw': 0.0}",OZCANLI-ELBISTAN (KAHRAMANMARAS),İlksel
57,2023.02.07 14:55:19,1675781719,37.9968,37.482,5.0,"{'md': 0.0, 'ml': 4.0, 'mw': 0.0}",KULLAR-NURHAK (KAHRAMANMARAS),İlksel
58,2023.02.07 14:52:26,1675781546,38.1132,36.4915,5.0,"{'md': 0.0, 'ml': 2.9, 'mw': 0.0}",MAHMUTBEY-GOKSUN (KAHRAMANMARAS),İlksel
59,2023.02.07 14:51:06,1675781466,38.072,36.5737,3.8,"{'md': 0.0, 'ml': 2.9, 'mw': 0.0}",YAGMURLU-GOKSUN (KAHRAMANMARAS),İlksel
60,2023.02.07 14:47:36,1675781256,38.076,36.557,7.2,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",YAGMURLU-GOKSUN (KAHRAMANMARAS),İlksel
61,2023.02.07 14:43:14,1675780994,37.0522,36.6085,12.3,"{'md': 0.0, 'ml': 3.0, 'mw': 0.0}",ARFALI-ISLAHIYE (GAZIANTEP),İlksel
62,2023.02.07 14:41:52,1675780912,37.4878,37.1928,9.4,"{'md': 0.0, 'ml': 2.6, 'mw': 0.0}",SOGUTLU-PAZARCIK (KAHRAMANMARAS),İlksel
63,2023.02.07 14:38:52,1675780732,37.636,37.2323,11.5,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",KAZANLIPINAR-(KAHRAMANMARAS),İlksel
64,2023.02.07 14:36:02,1675780562,38.1342,36.3705,9.9,"{'md': 0.0, 'ml': 2.9, 'mw': 0.0}",MURSEL-GOKSUN (KAHRAMANMARAS),İlksel
65,2023.02.07 14:34:48,1675780488,38.0912,37.6877,5.0,"{'md': 0.0, 'ml': 3.0, 'mw': 0.0}",ARMUTALAN-ELBISTAN (KAHRAMANMARAS),İlksel
66,2023.02.07 14:32:09,1675780329,38.9023,37.9535,5.0,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",GUVENC-HEKIMHAN (MALATYA),İlksel
67,2023.02.07 14:26:43,1675780003,38.0547,37.764,5.0,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",SOGUT-DOGANSEHIR (MALATYA),İlksel
68,2023.02.07 14:25:32,1675779932,38.1335,37.8478,5.0,"{'md': 0.0, 'ml': 3.1, 'mw': 0.0}",YOLKURU-DOGANSEHIR (MALATYA),İlksel
69,2023.02.07 14:24:35,1675779875,38.155,37.7368,5.0,"{'md': 0.0, 'ml': 3.7, 'mw': 0.0}",CAVUSLU-DOGANSEHIR (MALATYA),İlksel
70,2023.02.07 14:20:11,1675779611,38.917,37.8652,5.0,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",DEREKOY-HEKIMHAN (MALATYA),İlksel
